,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
0,12.95,13,3,0,1,3200,8,4,0,0,1,1,0,1,0
1,12.95,16,0,0,1,2710,8,2,0,0,0,0,0,1,0
2,10.36,21,3,0,0,6291,11,0,0,0,1,1,0,3,0
3,12.95,4,3,0,0,6076,8,4,0,0,0,1,0,1,0
4,38.85,8,3,1,0,2135,8,0,0,0,1,1,0,1,0
5,59.4,18,3,0,0,-1223,23,0,0,0,0,0,0,3,0
6,49.95,16,2,0,0,5190,32,0,0,0,1,1,0,1,0
7,36.26,0,3,0,0,4004,20,0,0,0,1,0,0,1,0
8,25.9,20,3,0,1,2846,9,9,0,0,0,0,0,2,0
9,10.36,14,2,1,1,2681,10,0,0,0,1,1,0,1,0
10,12.95,15,3,0,1,5639,17,2,0,0,0,1,0,1,0
11,38.85,12,2,0,1,783,26,4,0,0,0,0,0,1,0
12,25.9,0,3,0,0,3503,20,0,0,0,0,0,0,1,1
13,12.95,8,3,0,1,4740,7,2,1,0,1,1,0,1,0
14,12.95,12,4,1,0,2488,9,2,0,0,1,1,0,1,0
15,12.95,17,3,1,1,2448,9,9,0,0,0,0,0,1,0
16,38.85,21,3,0,1,-6704,8,2,0,0,0,1,0,1,0
17,12.95,10,3,1,1,-3578,6,0,1,0,1,0,0,1,0
18,12.95,21,3,1,1,5350,10,0,0,0,0,0,0,1,0
19,38.85,17,4,0,0,-1627,8,4,0,0,1,1,0,1,1
20,12.95,22,0,0,1,3252,6,1,0,0,0,0,0,2,0
21,12.95,21,2,1,1,3388,7,0,0,0,0,0,0,1,0
22,12.95,15,3,0,1,4227,18,4,0,0,1,1,0,1,0
23,38.85,11,2,0,0,2443,14,2,0,0,0,0,0,1,0
24,38.85,3,3,1,0,4395,18,0,0,0,0,0,0,1,1
25,38.85,9,3,0,0,2306,11,4,0,0,0,0,0,2,0
26,12.95,2,3,0,0,-4958,18,0,0,0,1,1,0,1,0
27,31.08,8,3,0,0,-1950,24,0,1,0,0,0,0,1,0
28,10.36,6,3,1,1,952,12,0,0,0,0,0,0,2,0
29,38.85,14,3,1,1,2716,12,8,0,0,1,0,0,1,0
30,12.95,7,2,1,1,-1269,8,8,0,0,0,1,0,1,0
31,25.9,7,0,0,1,-4094,7,1,0,0,1,0,0,2,0
32,25.9,20,0,1,0,3132,25,0,0,0,0,0,0,1,0
