,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
0,12.95,0,3,1,1,-4276,7,0,1,0,1,1,0,1,0
1,11.01,0,3,1,1,-4276,7,0,1,0,1,1,0,1,0
2,25.9,0,0,1,0,4139,6,0,0,0,1,1,0,1,0
3,38.85,0,1,1,1,3315,15,4,0,0,0,0,0,1,0
4,25.9,0,3,1,1,3878,8,0,0,0,0,1,0,1,0
5,11.01,0,3,0,1,3826,9,1,0,0,1,0,0,1,0
6,49.95,0,2,0,0,-1479,16,0,1,0,1,1,0,1,0
7,12.95,0,3,1,0,2602,21,1,0,0,0,0,0,1,0
8,12.95,0,0,0,1,2753,10,2,0,0,0,0,0,1,0
9,11.01,0,0,0,1,1380,6,3,0,0,1,0,0,1,0
10,12.95,0,3,0,0,-5595,6,0,1,0,1,1,0,2,0
11,12.95,0,0,1,1,2597,6,0,0,0,0,0,0,1,0
12,11.01,0,0,0,1,1380,6,3,0,0,1,0,0,1,0
13,12.95,0,3,1,0,-2304,18,1,0,0,0,1,0,1,1
14,12.95,0,3,0,1,6919,13,0,0,0,1,1,0,3,0
15,38.85,0,2,1,0,-6330,21,1,0,0,1,1,0,1,0
16,10.36,1,3,0,1,1791,9,0,0,0,1,0,0,1,0
17,38.85,1,2,0,0,5183,19,1,0,0,0,0,0,1,0
18,38.85,1,3,0,1,2319,6,0,0,1,0,0,0,2,0
19,24.95,1,0,0,0,3822,16,0,0,0,0,0,0,1,0
20,10.36,1,3,0,1,-4045,15,3,0,0,0,0,0,2,0
21,25.9,1,3,1,1,6709,12,0,0,1,0,0,0,2,0
22,12.95,1,2,0,0,1119,20,3,1,0,0,0,0,1,0
23,10.36,2,3,0,1,3668,9,4,0,0,0,1,0,2,0
24,10.36,2,3,0,1,3668,9,4,0,0,0,1,0,2,0
25,38.85,2,2,1,1,2681,19,1,1,0,1,0,0,1,0
26,12.95,2,3,0,0,6581,8,2,0,0,0,0,0,1,0
27,31.08,2,2,1,0,2594,20,0,0,0,1,1,0,1,0
28,10.36,2,3,0,1,3668,9,4,0,0,0,1,0,2,0
29,31.08,2,3,1,1,4767,7,0,1,0,1,1,0,2,0
30,12.95,2,2,1,1,4805,9,9,0,0,1,1,0,2,0
31,25.9,3,2,1,1,4805,9,9,0,0,1,1,0,2,0
32,25.9,3,0,1,1,1022,14,0,0,0,0,0,0,1,0
33,12.95,3,2,1,0,6110,17,2,1,0,0,0,0,1,0
34,38.85,4,3,1,0,1820,16,4,0,0,1,1,0,1,0
35,12.95,4,3,0,1,3839,9,9,0,0,0,0,0,1,0
36,38.85,4,3,1,1,1645,8,2,1,0,1,1,0,1,0
37,10.36,5,3,0,1,779,10,1,0,0,1,1,1,2,0
38,59.4,5,3,0,1,-244,8,1,0,0,1,1,0,1,0
39,12.95,5,3,0,1,2243,8,0,1,0,1,1,1,1,0
40,12.95,5,3,1,1,-1547,9,9,0,0,0,0,0,1,1
41,10.36,5,2,0,1,-5435,8,0,0,0,1,1,1,2,0
