,amount,hour1,field1,field2,flag1,field3,field4,field5,indicator1,indicator2,flag2,flag3,flag4,flag5,targets
55344,20.72,14,3,0,1,4737,8,2,0,0,0,0,0,1,0
25437,12.95,14,2,1,0,-2854,10,2,0,0,0,0,0,1,0
66960,38.85,11,3,1,1,458,8,0,0,0,1,0,0,1,0
29073,49.95,14,2,0,0,2267,11,1,0,0,1,1,0,1,0
39555,12.95,15,3,1,0,6448,20,0,1,0,0,0,0,1,0
82758,12.95,15,3,1,0,3361,23,4,0,0,0,0,0,1,0
68559,38.85,22,0,0,0,1922,15,0,0,0,0,0,0,1,0
46912,12.95,11,3,0,1,5750,6,0,0,0,1,1,0,3,0
34606,38.85,17,2,0,0,-7044,10,4,0,0,0,0,0,1,0
49415,38.85,18,3,0,0,-1077,18,4,0,0,1,1,0,1,0
75603,12.95,7,1,0,1,-3627,7,2,0,0,1,0,0,1,0
46632,10.36,22,3,0,1,6436,7,0,1,0,1,1,0,1,0
39211,12.95,4,3,1,0,2624,19,0,0,0,1,1,0,1,0
42480,12.95,1,3,0,1,5605,9,0,0,0,0,0,0,1,0
32191,38.85,1,3,1,1,3340,9,9,0,0,0,0,0,2,0
26550,38.85,12,3,0,0,4492,25,1,0,0,0,1,0,1,0
57382,12.95,0,3,1,0,6871,7,3,1,0,1,1,0,2,0
29755,12.95,8,2,1,1,3241,23,0,0,0,1,1,0,1,0
52753,39.96,13,3,1,0,480,10,0,0,0,0,0,0,2,0
52548,12.95,11,3,1,1,3869,11,4,0,0,1,1,0,1,0
14428,10.36,8,2,0,1,3053,9,9,0,0,1,1,0,1,0
3637,49.95,7,0,0,0,-6112,23,3,0,0,1,0,0,1,0
53606,10.36,13,3,1,0,-5077,16,0,0,0,0,0,0,1,0
78608,12.95,9,2,0,1,3144,6,4,1,0,0,0,1,1,0
43388,31.08,18,0,0,0,3903,14,0,0,0,1,0,0,2,0
51315,12.95,11,3,1,0,1846,7,0,0,0,0,0,0,1,0
90090,38.85,12,4,0,1,-1028,8,0,0,0,1,1,0,2,0
73833,38.85,11,3,0,0,-7633,13,0,0,0,0,1,0,1,0
58112,38.85,16,3,1,0,4406,18,3,0,0,1,1,0,1,0
8701,38.85,21,3,1,1,58,16,3,0,0,1,1,0,2,0
5928,10.36,17,3,1,1,4844,7,0,1,0,0,1,0,2,0
14570,12.95,11,3,0,1,-5554,25,3,0,0,1,1,0,1,0
86170,38.85,12,3,0,1,2098,9,0,1,0,0,1,0,1,0
83022,12.95,19,3,1,1,-1835,8,2,0,0,0,0,0,3,0
73381,49.95,20,3,0,0,5723,22,3,0,0,1,0,0,1,0
65151,38.85,15,0,0,1,-6070,10,4,0,0,1,0,1,1,0
78449,38.85,0,3,0,0,6288,17,0,1,0,0,0,0,1,0
